COUNTRY,ISO3,Earthquake,Flood,Tsunami,Tropical Cyclone,Drought,Natural,Projected Conflict Risk,Current Highly Violent Conflict Intensity,Human,HAZARD & EXPOSURE,Development & Deprivation,Inequality,Aid Dependency,Socio-Economic Vulnerability,Uprooted people,Health Conditions,Children U5,Recent Shocks,Food Security,Other Vulnerable Groups,Vulnerable Groups,VULNERABILITY,DRR,Governance,Institutional,Communication,Physical infrastructure,Access to health care,Infrastructure,LACK OF COPING CAPACITY,INFORM RISK,Rank,Missing Indicators,

Afghanistan,AFG,8.9,6.6,0,0,6.7,5.5,10,10,10,8.6,6.5,5.1,9.3,6.9,8.9,1.2,7.4,0.3,7.1,4.8,7.4,7.2,6.3,8.4,7.4,7.9,8.5,9.1,8.5,8,7.9,3,2

Albania,ALB,6.3,4.5,7.5,0,5.1,5.1,0.4,0,0.3,3,2,2.2,2.9,2.3,0,0.3,1.3,1.5,4.3,2,1,1.7,x,6.2,6.2,2.4,1.6,5.2,3.1,4.8,2.9,111,2

Algeria,DZA,5.2,5.3,3.9,0,2.6,3.6,5.3,8,8,6.3,3.6,5.7,0.2,3.3,5.3,0.6,1.4,0.00E+00,3.1,1.3,3.6,3.5,3.5,6.3,4.9,4.7,4.8,5.2,4.9,4.9,4.8,37,2

Angola,AGO,0.1,4.4,0,0,4.3,2,3.7,0,2.6,2.3,6.5,4.4,0.4,4.5,4.2,6.2,6.8,0,5.4,5.1,4.7,4.6,5.3,7.8,6.6,6.7,8.4,7.4,7.5,7.1,4.2,62,2

Antigua and Barbuda,ATG,8.2,0.1,0,5.3,0,3.7,0,0,0,2,2.7,x,0.6,2,0,0.2,0.7,0,6.5,2.4,1.3,1.7,5.4,4,4.7,2.2,0.5,3.5,2.1,3.5,2.3,144,10

