COUNTRY,ISO3,Earthquake,Flood,Tsunami,Tropical Cyclone,Drought,Epidemic,Natural,Projected Conflict Risk,Current Highly Violent Conflict Intensity,Human,HAZARD & EXPOSURE,Development & Deprivation,Inequality,Aid Dependency,Socio-Economic Vulnerability,Uprooted people,Health Conditions,Children U5,Recent Shocks,Food Security,Other Vulnerable Groups,Vulnerable Groups,VULNERABILITY,DRR,Governance,Institutional,Communication,Physical infrastructure,Access to health care,Infrastructure,LACK OF COPING CAPACITY,INFORM RISK,RISK CLASS,Rank,Lack of Reliability (*),Number of Missing Indicators,% of Missing Indicators,Countries in HVC,Recentness data (average years)
Afghanistan,AFG,9.7,7.2,0,0,7.9,6.9,6.5,10,10,10,8.8,8.5,8.7,4.8,7.6,9.6,2.1,5.2,10,7.8,7.4,8.7,8.2,6.3,8.1,7.2,6.3,7.3,7.6,7.1,7.2,8,Very High,5,#VALUE!,6,12%,YES,#VALUE!
Albania,ALB,9.3,4.7,7.8,0,6.8,4.9,6.4,0.1,0,0.1,3.9,2.4,2.1,1.8,2.2,0.9,0.2,1.1,0.2,1.8,0.8,0.9,1.6,x,5.6,5.6,2,1.7,3.7,2.5,4.2,3,Low,119,#VALUE!,8,16%,,#VALUE!
Algeria,DZA,8.8,5.2,4.6,0,4.1,3.4,5,7.6,0,5.3,5.2,2.9,3.3,0.2,2.3,5.4,0.4,1.3,0.4,0.3,0.6,3.4,2.9,3.5,6.4,5,3.6,4.1,3.8,3.8,4.4,4,Medium,82,#VALUE!,3,6%,,#VALUE!
Angola,AGO,0.1,5.1,0,0,4.2,6.7,3.2,6.7,0,4.7,4,8,4.4,0.1,5.1,5.1,5,5.2,1.2,6.3,4.7,4.9,5,5.3,7.6,6.5,7,8,8.1,7.7,7.1,5.2,High,39,#VALUE!,1,2%,,#VALUE!
Antigua and Barbuda,ATG,5.2,0.1,0,8.4,0,3.5,3.7,0,0,0,2,2.4,x,1.8,2.2,0,0,0.6,0.4,5.8,2.1,1.1,1.7,5.4,5,5.2,1,0.7,4.3,2,3.8,2.3,Low,142,#VALUE!,20,39%,,#VALUE!
Argentina,ARG,6.7,6.5,0,0,3.3,4,3.9,2.2,0,1.5,2.8,1.5,4.4,0,1.9,2.8,0.3,0.8,0.1,1.1,0.6,1.8,1.9,3.8,5.4,4.6,1.6,3,2.1,2.2,3.5,2.7,Low,128,#VALUE!,7,14%,,#VALUE!
Armenia,ARM,8.2,4.3,0,0,4.6,5.2,4.4,4.4,0,3.1,3.8,1.6,2.9,2.5,2.2,4.6,0.3,0.8,0.5,2,0.9,3,2.6,7.5,5.9,6.7,2,1.2,2.7,2,4.8,3.6,Medium,99,#VALUE!,3,6%,,#VALUE!
Australia,AUS,0.2,5.3,7.2,4.8,6.8,2.2,4.9,0.1,0,0.1,2.8,0,2.1,0,0.5,5.8,0.1,0.2,0.1,1.2,0.4,3.6,2.2,2.4,2.1,2.3,1.9,3,0.5,1.8,2.1,2.3,Low,142,#VALUE!,9,18%,,#VALUE!
Austria,AUT,4.2,5.5,0,0,0.5,1.7,2.3,0,0,0,1.2,0,1.2,0.1,0.3,7,0.1,0.3,0,0.2,0.2,4.4,2.6,2,2.3,2.2,1,0,0.5,0.5,1.4,1.6,Very Low,169,#VALUE!,12,24%,,#VALUE!
Azerbaijan,AZE,8.8,4.9,0,0,5.3,5.6,4.9,7.2,0,5,5,2.9,2.3,0.5,2.2,8.1,0.8,1.5,0,1.3,0.9,5.6,4.1,x,6.4,6.4,1.8,3.1,2.1,2.3,4.7,4.6,Medium,61,#VALUE!,6,12%,,#VALUE!
